HTML,CSS,JavaScript,Node.js,React.js,Angular,Vue.js,Python,SQL,MongoDB,Java,C++,C#,PHP,Ruby,Swift,Kotlin,Go,TypeScript,Express.js,Django,Flask,Spring,.NET,Docker,Kubernetes,AWS,Azure,GCP,GraphQL,RESTful APIs,Machine Learning,Data Analysis,UI/UX Design,Testing,Agile,DevOps,Security,Database Admin,Mobile Dev (Android),Mobile Dev (iOS),Game Dev,Embedded Systems,Blockchain,PowerBI,Tableau,Git,Selenium,Communication,Leadership,Teamwork,ProblemSolving,TimeManagement,CriticalThinking,Adaptability,Creativity,AttentionToDetail,Presentation,Negotiation,ConflictResolution,Empathy,DecisionMaking,StressManagement,Experience,YearsOfCoding,NumberOfProjects,GitHubContributions,StackOverflowReputation,Education,Certification,PreferredRole,SalaryExpectation
4,0,4,0,1,5,1,5,0,5,3,2,2,2,1,5,2,4,5,2,3,5,4,4,1,5,1,5,0,5,5,3,1,4,3,2,5,3,3,4,5,0,3,0,5,5,2,0,4,4,3,5,3,4,4,3,5,4,3,3,3,3,4,2.6,3,8,415,1010,High School,0,Backend Developer,79374
1,5,4,5,2,5,1,4,5,3,0,3,3,3,2,5,3,0,5,3,2,1,2,1,0,0,4,3,5,4,4,1,0,1,0,2,4,3,0,0,4,3,5,4,5,0,0,4,4,4,4,4,4,5,5,5,5,5,4,3,3,3,4,7.2,6,37,613,1553,High School,0,Backend Developer,95265
4,1,1,1,0,0,2,4,5,2,2,1,1,1,4,1,0,4,0,5,3,5,5,0,2,1,1,0,1,3,0,1,2,5,2,0,1,5,3,4,3,1,2,4,1,1,3,0,5,3,3,5,4,5,5,4,3,4,5,4,3,3,5,3.7,2,27,591,1123,Associate's,0,Full-Stack Developer,72477
1,4,5,3,0,0,4,0,1,3,3,4,5,5,1,3,3,2,5,2,2,3,3,4,4,5,2,0,0,1,3,0,0,5,4,4,2,4,2,2,4,2,0,5,2,3,1,0,3,4,5,5,5,4,5,4,5,4,3,4,3,3,5,5.8,7,24,733,1148,Bachelor's,1,Backend Developer,99883
2,1,3,4,1,1,2,2,4,3,5,2,4,0,3,0,1,5,1,5,1,3,4,2,4,3,5,3,2,1,4,3,5,1,1,4,0,4,3,0,4,5,3,4,3,5,1,2,4,4,5,4,3,4,5,4,4,3,4,3,4,4,5,8.0,5,28,391,1391,Master's,1,Mobile Developer,88089
3,0,5,1,0,0,2,2,2,5,5,3,1,0,1,4,4,2,3,5,2,0,0,5,5,5,3,0,4,3,0,0,4,2,5,0,1,5,1,5,5,4,2,5,1,3,3,4,4,4,3,3,3,4,4,3,5,3,5,4,3,3,3,7.2,7,28,791,1374,Master's,1,Backend Developer,88864
5,2,0,1,1,4,2,3,3,0,4,0,3,5,2,4,4,0,1,2,5,1,2,5,4,1,5,3,2,2,5,2,2,1,1,2,3,5,4,5,5,2,3,4,0,5,1,5,4,4,3,5,4,4,3,4,5,4,3,3,3,4,5,5.3,7,25,523,917,Associate's,0,Mobile Developer,116209
4,2,3,0,4,3,4,0,1,5,5,5,2,2,1,2,2,5,5,0,1,3,2,2,0,2,0,1,4,3,1,1,5,3,0,2,5,4,4,4,2,2,3,3,0,1,2,4,5,3,5,5,4,4,4,3,3,3,4,4,3,5,4,4.8,9,33,633,1617,PhD,0,Backend Developer,100100
5,5,0,1,4,3,3,2,1,3,0,2,1,3,4,0,4,4,1,1,5,5,0,5,1,2,0,4,3,1,5,5,2,1,0,3,4,1,4,5,5,0,1,2,4,4,5,1,3,4,3,4,5,4,3,5,5,3,4,5,3,3,4,8.4,7,33,652,756,Master's,0,Frontend Developer,112961
0,0,3,0,4,4,5,2,2,2,5,3,2,5,2,2,5,2,4,4,4,0,0,2,4,1,3,5,5,0,0,3,4,2,0,4,2,2,2,3,1,0,3,4,5,0,5,5,3,4,4,4,3,3,3,4,3,3,5,5,3,3,3,5.7,4,26,225,850,Associate's,0,DevOps Engineer,95594
0,4,0,4,0,0,5,2,3,2,3,2,5,3,5,2,4,1,1,3,1,2,0,5,2,2,3,4,2,1,4,0,4,3,5,3,0,3,1,2,4,4,2,1,4,2,0,2,4,4,5,3,3,5,3,4,3,4,3,5,3,5,3,4.0,7,18,510,1018,PhD,0,Full-Stack Developer,79160
1,2,5,4,4,5,0,3,3,4,1,2,1,3,4,5,0,1,4,0,4,3,5,0,2,4,4,3,1,4,0,0,4,0,0,1,1,1,1,0,4,2,5,1,3,5,4,4,3,4,4,5,4,3,5,4,3,4,4,5,5,4,3,7.5,8,40,444,871,Master's,0,Data Analyst,110170
5,3,2,4,1,3,2,1,3,2,1,4,0,3,1,1,4,2,0,2,3,5,5,5,2,4,0,5,5,4,0,4,4,2,3,5,4,3,1,3,1,5,2,5,1,0,3,1,3,4,3,3,4,5,5,5,5,3,4,3,4,4,3,3.0,2,26,227,381,Bachelor's,0,Full-Stack Developer,108623
3,3,2,1,0,4,1,5,3,4,0,1,0,0,0,3,3,2,2,0,0,2,1,4,1,0,1,5,2,3,1,2,2,0,4,4,5,5,4,3,5,3,1,3,1,1,3,5,5,4,4,3,3,5,5,5,5,3,5,4,3,4,3,1.9,1,10,348,245,Associate's,0,Full-Stack Developer,109004
4,3,5,0,5,0,4,1,2,1,5,5,5,3,2,5,2,3,3,4,0,4,5,2,4,0,5,2,5,5,3,1,1,4,4,3,1,1,2,3,2,2,1,3,1,1,5,1,5,4,4,5,5,4,5,5,3,4,3,5,3,5,3,0.3,1,11,302,898,Master's,0,Backend Developer,72613
3,4,1,1,0,1,1,3,1,0,3,2,4,1,1,1,0,4,4,0,4,1,0,5,3,4,0,5,0,0,2,5,4,0,3,3,0,2,2,2,4,0,1,0,3,4,3,3,3,4,3,5,5,3,5,5,5,5,4,5,5,4,4,3.9,2,17,320,996,Associate's,0,Data Analyst,50000
2,2,5,5,4,3,5,3,0,5,3,0,0,4,0,2,0,3,0,1,0,2,4,3,4,4,1,3,1,4,5,2,1,2,2,3,5,3,2,1,0,1,4,3,1,4,3,2,3,5,4,3,5,3,3,5,3,4,5,3,4,3,3,7.7,9,30,691,1569,High School,0,Data Scientist,115338
0,1,3,1,1,4,4,3,3,2,4,1,5,2,2,0,2,2,4,5,2,4,4,3,4,0,2,4,4,0,3,4,0,4,1,2,2,3,4,0,2,3,2,2,3,4,5,5,4,5,3,5,4,4,5,4,5,5,4,3,3,4,5,8.1,9,39,646,1701,High School,0,Software Engineer,102220
1,0,1,4,1,3,1,0,2,1,3,0,1,5,4,5,5,3,2,0,3,5,2,1,3,4,3,5,4,0,2,3,1,3,0,2,0,5,0,2,3,1,3,4,1,4,1,2,5,4,3,5,3,4,5,4,4,4,4,3,5,5,4,8.3,8,36,814,1126,High School,0,Software Engineer,99995
0,4,1,3,4,4,4,0,3,4,3,3,3,4,0,1,4,4,4,0,5,1,1,0,1,4,3,2,5,2,0,4,4,2,5,3,0,5,3,5,4,3,5,3,0,2,5,2,4,5,5,5,3,5,5,4,5,3,4,4,4,4,3,8.7,6,28,316,600,High School,0,Data Scientist,121418
4,5,3,5,5,3,0,1,5,1,4,4,2,5,1,2,3,4,2,0,2,0,3,1,0,2,2,3,5,4,5,5,5,0,0,1,1,3,5,3,4,3,0,3,5,3,3,1,3,5,4,4,4,5,5,5,5,4,3,5,5,5,5,8.9,10,29,767,1539,Associate's,1,Frontend Developer,94848
3,0,0,4,5,3,4,5,5,5,5,0,5,0,4,1,3,0,3,1,5,2,4,0,3,0,4,3,3,5,5,0,4,4,0,3,4,4,0,1,3,3,2,2,5,5,5,2,3,4,4,4,4,3,4,3,5,3,4,3,3,5,3,6.5,6,30,490,638,PhD,0,Machine Learning Engineer,115685
5,0,0,2,0,3,4,5,4,5,5,5,0,4,4,5,2,4,4,1,4,5,3,1,2,3,5,3,4,3,3,2,0,5,5,2,3,5,2,0,5,0,3,4,4,4,4,0,3,5,4,3,4,4,5,3,4,3,3,4,5,4,3,1.7,0,16,31,82,Master's,0,Security Engineer,71164
4,4,2,0,5,1,4,2,2,3,0,0,0,1,0,2,1,4,5,1,3,5,2,3,1,0,5,2,5,2,0,4,1,1,3,0,2,4,2,3,4,0,0,0,2,3,2,4,3,5,5,4,3,4,5,4,3,3,3,4,4,5,4,5.7,11,34,802,1620,High School,1,Mobile Developer,99268
0,5,0,0,5,3,3,2,0,2,4,4,1,1,3,4,1,1,4,4,0,0,4,3,1,4,1,5,1,5,2,3,0,2,1,2,5,2,4,4,1,5,2,4,1,0,2,3,4,5,4,5,4,4,5,3,3,4,4,3,4,5,3,4.8,4,16,486,1350,High School,0,Data Scientist,116734
1,5,4,0,5,4,3,2,5,1,5,1,1,0,0,0,1,5,0,4,5,3,1,4,5,4,1,0,1,5,4,0,3,5,2,2,3,1,0,2,1,2,2,2,5,1,3,2,5,4,5,4,4,4,5,4,4,3,3,4,4,5,4,5.4,7,21,701,1287,Bachelor's,0,Full-Stack Developer,102122
3,4,4,2,2,4,3,2,2,3,1,5,3,0,0,1,2,0,2,5,5,0,2,0,2,2,4,1,2,5,2,3,1,5,3,0,1,1,5,1,3,4,2,4,0,2,1,0,3,4,5,3,4,5,3,3,5,5,3,3,3,5,4,3.5,5,15,625,830,Bachelor's,0,Software Engineer,73096
5,5,1,5,1,1,4,4,2,2,1,4,0,2,2,2,5,3,2,4,4,4,4,1,4,4,2,5,3,0,2,0,2,4,5,1,0,4,4,3,5,2,0,5,1,0,4,1,3,5,4,5,5,5,3,4,5,4,3,3,3,3,4,4.8,1,22,236,137,PhD,1,Data Analyst,88836
1,5,5,0,1,0,3,5,0,5,2,4,5,1,2,0,5,5,1,1,3,5,5,0,1,3,1,3,5,2,4,3,5,4,1,1,5,1,2,1,0,3,2,0,3,3,1,2,5,4,3,3,4,3,4,4,3,3,4,4,4,3,4,-0.6,0,6,82,856,PhD,0,Mobile Developer,88452
0,1,2,5,2,5,3,2,5,1,2,3,4,5,0,0,5,4,5,2,1,4,0,1,2,3,2,0,4,3,2,4,4,2,5,5,1,1,4,2,5,2,0,1,5,0,0,2,5,4,5,4,3,3,3,3,5,4,3,5,3,3,4,5.1,3,15,588,975,Associate's,1,Frontend Developer,111790
2,5,1,1,4,0,2,0,0,4,1,3,4,1,3,3,0,5,5,0,0,4,0,3,0,3,2,4,5,2,0,4,0,0,0,3,5,3,4,4,2,4,4,1,1,4,3,0,5,4,3,4,4,3,4,4,4,4,4,3,3,5,4,4.2,4,13,285,1298,Master's,0,DevOps Engineer,94237
2,2,5,1,0,2,5,1,3,0,3,4,4,4,1,1,0,0,4,5,3,1,0,4,5,5,3,2,4,5,1,2,1,3,2,2,4,5,5,0,1,2,2,4,5,2,1,3,3,3,3,4,3,4,4,4,4,3,4,4,3,3,3,1.4,3,16,613,364,Bachelor's,0,Security Engineer,58245
3,4,3,3,5,3,5,4,2,0,2,1,2,5,2,4,1,4,1,3,5,5,4,1,5,5,0,0,5,2,3,3,5,4,3,0,0,1,5,0,2,0,1,0,0,5,2,1,4,3,5,4,4,3,5,4,5,5,5,4,5,4,4,-0.1,0,5,349,546,Bachelor's,0,Backend Developer,73415
5,1,1,3,1,3,5,2,2,1,4,2,0,3,5,0,3,1,2,3,5,1,0,3,0,1,1,2,0,4,0,0,3,1,1,0,3,5,0,0,1,4,4,4,2,1,4,3,5,5,5,3,4,5,3,3,3,5,4,3,3,4,3,11.4,15,49,771,2337,Associate's,1,Full-Stack Developer,100850
0,0,4,0,3,4,1,5,3,2,0,5,4,2,5,0,0,2,5,3,1,5,0,5,1,3,2,4,0,0,3,0,2,5,2,2,2,1,0,3,5,4,4,3,2,2,0,1,5,5,3,4,3,4,4,3,3,5,3,4,4,5,5,5.8,6,18,717,895,Bachelor's,0,Mobile Developer,110195
3,4,0,5,4,4,5,5,0,4,1,2,0,2,0,4,5,0,3,1,4,5,1,3,2,2,2,1,0,5,4,2,3,4,0,1,0,1,3,1,5,0,1,5,4,2,2,5,3,4,4,3,3,4,3,3,3,3,5,5,4,4,5,1.8,2,22,451,256,PhD,1,Data Scientist,76432
3,5,1,1,5,1,3,2,4,1,5,5,2,1,5,0,2,3,5,0,5,2,2,5,5,3,4,1,0,3,5,0,5,4,5,0,4,5,2,5,0,0,4,2,5,2,3,5,3,4,3,3,5,3,4,4,3,4,4,4,4,5,5,4.5,3,17,305,837,High School,0,Mobile Developer,80587
3,5,5,0,1,3,4,3,5,4,4,0,1,1,2,5,0,0,0,4,5,1,1,3,3,2,2,3,2,0,0,2,4,2,4,4,4,4,2,3,4,0,3,0,0,3,0,2,4,4,5,4,3,5,4,4,3,3,4,5,5,5,5,5.0,2,19,548,1150,High School,1,Full-Stack Developer,76075
0,1,4,2,3,5,5,3,1,4,3,2,4,2,2,0,3,5,2,3,2,2,5,5,2,1,1,3,2,0,4,0,1,3,3,4,1,4,4,0,1,1,0,3,4,1,0,0,3,4,4,3,3,3,3,5,3,4,5,5,5,5,4,7.3,5,33,649,1075,Master's,0,DevOps Engineer,140189
5,5,3,3,1,5,0,2,1,0,5,5,3,1,4,5,5,3,0,1,1,2,1,5,0,1,0,0,3,0,4,4,2,2,2,4,4,2,2,4,4,3,3,0,5,2,4,2,3,3,5,3,4,5,5,4,5,3,3,5,3,4,4,6.8,9,33,922,1187,PhD,1,Mobile Developer,106139
2,3,0,3,3,1,3,1,4,5,5,5,5,0,4,3,1,3,0,5,4,1,4,4,1,1,4,2,0,2,3,1,5,3,2,1,2,5,1,2,0,4,1,3,4,1,4,3,4,4,5,5,4,4,5,4,4,5,4,3,5,5,5,4.9,6,16,572,909,Master's,1,DevOps Engineer,88040
0,5,0,1,3,5,1,2,1,2,3,3,1,0,0,2,5,2,4,5,1,3,2,1,4,3,5,5,0,4,3,1,1,0,1,1,1,0,1,1,5,3,1,5,4,1,5,1,5,3,4,5,3,4,4,4,4,4,4,5,5,3,4,4.2,3,28,393,673,PhD,1,DevOps Engineer,91132
3,5,0,0,1,2,0,1,5,4,1,4,3,2,0,0,5,5,5,4,1,3,5,5,2,1,2,3,2,0,1,4,1,0,4,2,3,5,3,4,3,1,5,4,1,2,1,1,3,4,4,3,4,3,4,4,4,4,3,4,3,3,3,-1.6,0,11,396,319,Bachelor's,1,Frontend Developer,53325
0,2,3,4,3,4,4,1,0,4,0,0,1,5,5,5,1,5,2,5,4,1,5,1,5,4,5,4,5,2,1,5,0,4,0,0,0,2,0,3,1,2,2,3,3,5,0,2,5,4,3,3,5,5,3,3,3,3,3,4,4,4,3,7.8,5,35,515,1045,PhD,1,Frontend Developer,124467
5,0,0,4,1,1,4,1,2,2,3,2,1,4,3,3,4,5,1,3,0,5,2,5,4,1,4,1,3,1,5,1,2,2,0,4,1,5,2,2,3,4,0,3,1,5,3,0,3,4,3,5,4,5,5,3,3,5,3,3,4,3,3,3.4,1,10,300,241,PhD,1,Frontend Developer,75959
4,1,2,5,5,5,2,1,0,5,4,1,1,3,1,2,5,3,3,1,3,1,0,2,4,0,0,1,1,2,1,3,2,1,4,0,5,4,3,4,1,5,3,2,1,3,0,1,4,5,3,4,5,3,4,3,5,3,5,3,3,5,4,1.7,0,18,473,676,Bachelor's,1,Data Analyst,74997
3,1,0,3,0,5,2,1,1,3,0,0,3,3,2,1,0,5,5,3,2,0,3,4,1,5,1,4,3,3,1,4,0,4,1,3,4,4,5,3,0,4,4,4,1,4,4,3,4,3,3,3,3,4,5,4,3,5,5,4,4,5,4,2.1,0,25,394,379,Master's,1,Software Engineer,65780
3,0,1,0,3,5,0,4,1,1,5,5,0,5,2,5,1,0,1,3,4,1,2,5,4,3,3,3,3,4,1,4,0,1,4,5,0,5,3,2,4,5,1,2,3,2,1,2,4,5,5,3,4,3,3,3,3,5,3,5,4,3,3,9.6,7,46,546,1580,Bachelor's,1,DevOps Engineer,117852
1,0,5,0,4,2,1,1,3,0,4,1,5,0,5,5,5,3,0,0,4,4,3,5,2,5,5,4,1,4,0,5,5,0,2,0,1,1,1,3,3,4,0,5,2,2,5,1,3,5,5,5,5,3,4,4,5,5,5,5,5,3,4,6.1,8,37,606,1208,High School,0,Machine Learning Engineer,104550
4,1,3,2,2,4,2,4,1,1,1,1,4,1,1,3,4,4,0,3,2,0,1,3,4,1,1,4,2,4,0,1,5,2,1,0,3,1,5,2,0,1,3,3,1,0,4,2,3,4,5,5,4,5,4,5,3,3,4,5,3,4,4,3.4,3,29,526,476,High School,0,Backend Developer,98670
4,4,3,4,1,1,5,2,1,3,1,2,0,4,3,3,1,4,5,3,5,1,1,4,3,4,3,5,3,1,0,4,0,2,2,0,2,2,4,1,1,5,3,1,2,0,4,0,3,5,3,5,3,3,5,4,4,5,4,5,5,3,5,5.5,6,18,425,1412,PhD,1,Machine Learning Engineer,95141
5,2,0,3,4,4,0,0,5,2,1,5,5,1,4,0,2,1,4,0,3,4,4,4,1,3,4,3,3,1,3,4,0,1,5,0,5,4,5,3,0,4,1,5,5,0,1,4,4,4,5,5,5,3,5,5,4,4,3,5,3,5,4,3.0,3,19,272,776,Master's,0,Security Engineer,92254
2,1,0,0,4,1,4,0,4,4,1,1,5,3,0,0,4,0,5,5,1,3,1,3,0,0,4,5,4,1,0,1,1,0,3,4,5,3,2,1,5,5,0,4,3,4,1,3,4,3,5,5,4,4,3,5,4,4,5,4,4,4,3,2.7,0,27,201,820,Associate's,1,Software Engineer,59102
1,3,1,2,2,1,3,1,1,5,5,3,4,5,2,4,2,4,1,5,1,1,0,3,4,1,4,3,3,4,2,0,3,2,0,4,1,3,4,4,0,4,2,5,3,1,1,1,4,4,5,3,5,3,3,4,4,5,3,4,3,5,3,2.9,6,20,442,1424,Master's,1,Software Engineer,66917
3,3,1,1,0,5,3,2,1,3,3,5,4,4,2,3,0,1,1,3,2,0,0,5,5,5,4,0,3,0,1,0,4,4,4,3,5,1,2,0,0,1,0,1,3,1,3,5,5,5,5,5,4,4,4,3,5,4,4,3,4,4,5,5.9,5,17,608,1157,Bachelor's,0,Machine Learning Engineer,132077
0,1,1,1,2,2,1,2,4,5,3,1,3,5,2,4,2,1,3,5,2,3,1,3,2,1,4,4,4,2,2,1,0,5,3,0,2,3,5,4,5,5,0,3,3,5,5,2,5,3,4,3,4,4,3,5,4,4,4,4,4,5,3,6.4,7,24,516,1271,High School,0,Mobile Developer,116234
5,5,1,1,3,0,5,3,4,2,4,4,1,2,0,4,2,3,2,2,5,5,4,1,3,4,2,3,5,4,4,4,1,5,5,0,1,3,0,1,4,1,5,1,0,4,4,3,3,5,3,5,4,3,3,4,3,4,5,4,5,4,4,5.8,5,29,375,1284,Master's,0,Backend Developer,94440
3,4,0,1,3,4,4,1,4,0,0,2,0,2,1,5,4,4,2,4,1,3,3,2,2,2,0,2,4,3,1,2,5,0,2,5,5,0,5,3,3,5,4,0,4,5,2,4,5,5,4,3,4,5,4,3,3,5,5,3,4,3,5,2.5,2,18,598,401,Master's,0,Frontend Developer,88438
1,5,3,5,0,2,5,1,3,1,4,4,3,3,2,2,4,0,0,3,0,2,5,5,3,4,1,5,4,5,1,2,3,1,5,5,3,0,5,3,0,5,0,3,5,1,1,2,3,3,3,3,4,5,3,5,4,5,3,5,5,3,3,2.7,3,13,398,600,Master's,0,Mobile Developer,89687
5,3,1,0,3,0,3,0,0,4,5,2,1,5,3,0,0,5,3,5,2,2,0,3,4,3,2,4,5,3,3,1,5,3,1,5,2,2,1,4,3,2,5,0,4,3,1,4,4,4,4,3,4,4,3,3,5,4,5,3,5,4,3,4.7,4,23,630,463,Associate's,1,Full-Stack Developer,110315
2,3,4,1,5,0,5,5,0,3,2,1,0,4,4,0,5,2,0,3,2,5,1,2,3,5,2,1,2,0,1,0,3,4,0,4,5,1,1,5,0,3,3,3,1,1,2,3,3,4,4,4,4,4,5,4,4,3,3,4,4,5,3,-0.2,0,15,339,354,High School,0,Software Engineer,71725
3,2,1,0,5,2,1,5,0,1,3,4,2,2,2,4,5,0,4,4,4,1,0,1,5,3,5,0,1,2,5,2,4,1,2,4,4,1,4,4,2,3,5,2,3,5,2,2,4,5,3,4,5,3,3,3,5,4,4,3,4,4,5,9.0,7,27,562,1317,PhD,0,Full-Stack Developer,118613
2,4,0,4,4,3,5,4,4,2,0,1,2,3,4,1,2,1,1,5,2,4,5,4,1,4,0,3,1,4,3,5,5,3,5,2,5,3,2,1,3,2,3,3,3,5,5,1,5,4,3,3,5,3,5,5,3,5,5,4,3,3,3,9.4,16,40,1236,2265,PhD,0,Frontend Developer,117537
5,3,2,4,4,3,5,0,1,5,2,0,5,3,0,4,3,1,2,4,2,5,2,4,4,0,4,3,4,4,4,2,5,1,4,0,1,4,2,1,5,3,3,0,5,5,4,3,3,3,3,5,3,4,4,5,4,3,5,4,3,4,5,0.9,3,14,199,673,PhD,0,Full-Stack Developer,74944
5,5,2,0,2,4,0,5,2,0,2,1,1,0,1,0,5,5,3,5,2,3,5,4,3,1,5,2,3,0,5,4,5,1,1,0,5,5,4,0,1,1,5,4,1,5,5,1,4,5,4,4,3,5,4,4,5,3,5,5,3,5,3,7.4,7,23,519,1011,PhD,0,Backend Developer,86166
3,0,3,5,4,4,4,5,2,5,5,5,0,0,0,4,3,5,2,2,5,0,5,5,1,2,1,4,1,0,0,3,1,2,0,4,0,4,2,2,3,4,4,4,4,2,3,0,5,4,3,5,5,4,3,4,3,5,4,3,4,5,3,5.0,4,19,515,1205,Master's,0,Software Engineer,90286
4,0,4,0,5,2,0,0,4,5,3,0,2,5,4,3,0,0,5,3,3,2,1,3,3,0,5,4,3,4,3,0,3,5,2,2,1,1,3,4,1,4,3,3,0,0,0,3,3,5,4,4,4,3,4,3,4,3,5,5,5,3,3,3.7,4,12,378,1256,Associate's,1,Mobile Developer,97067
3,0,0,4,2,4,1,0,1,3,5,3,3,2,5,4,5,2,3,5,0,0,1,4,2,2,2,3,3,5,1,2,1,5,0,4,2,5,2,2,0,5,0,5,5,5,0,0,4,4,3,3,5,3,4,4,3,3,4,3,4,4,3,1.2,0,9,340,106,Bachelor's,0,Data Scientist,105754
4,4,4,4,3,2,3,2,0,2,3,4,0,5,2,5,0,2,4,5,2,3,0,5,3,3,5,4,3,1,2,5,2,1,4,1,3,5,3,1,5,4,0,3,1,4,3,1,4,3,5,4,4,5,5,5,3,4,5,5,5,4,3,6.6,3,30,344,1177,High School,1,Security Engineer,106381
4,1,0,1,0,4,2,1,3,1,2,0,1,5,0,1,3,0,1,5,4,5,2,0,0,4,3,5,2,5,3,1,5,3,4,2,4,2,3,3,1,3,3,0,4,1,5,5,5,4,3,5,5,5,5,5,5,4,4,5,4,4,5,2.7,4,8,201,898,Associate's,1,Mobile Developer,90288
4,4,4,0,5,5,4,0,5,1,1,3,2,0,3,2,0,2,4,5,4,1,3,4,5,0,5,2,4,2,5,5,1,5,0,1,5,2,3,2,5,1,2,1,4,3,1,1,3,4,5,3,3,4,5,5,4,3,3,3,3,3,3,9.2,8,35,845,950,High School,0,Full-Stack Developer,139606
4,2,4,4,0,4,5,2,3,0,1,2,0,5,5,5,4,3,2,5,0,2,3,2,2,3,1,1,3,2,4,1,3,0,4,3,1,0,5,5,3,4,1,5,2,5,0,3,3,5,5,3,4,3,3,5,4,4,5,5,3,5,5,2.0,4,23,217,1262,Master's,0,Backend Developer,79240
4,0,2,0,2,4,2,4,5,4,0,2,2,5,3,3,4,0,1,1,2,2,3,1,1,5,2,0,0,1,4,0,2,4,3,0,5,1,1,1,4,5,2,5,2,2,1,4,4,3,3,3,4,4,3,5,3,3,4,4,3,3,4,2.6,1,19,530,1092,Bachelor's,1,Machine Learning Engineer,83225
0,3,5,5,1,0,1,1,2,2,4,4,4,2,4,0,4,3,0,2,2,2,2,1,4,5,3,2,4,3,1,2,3,5,1,4,5,4,3,3,5,1,3,3,2,5,0,1,5,5,4,4,3,4,4,5,3,3,4,4,4,5,4,3.6,7,28,466,1073,Bachelor's,0,DevOps Engineer,90975
2,1,1,3,1,3,1,2,2,0,1,1,5,5,2,4,2,2,1,0,4,1,5,5,1,1,1,2,0,0,4,1,2,2,4,5,4,2,2,0,4,3,2,3,1,1,0,0,3,4,3,4,5,5,4,3,5,3,3,5,3,3,3,3.8,2,23,388,1020,Master's,0,Data Analyst,79266
2,4,5,5,3,1,1,0,4,2,2,1,4,1,2,3,3,2,1,1,0,2,2,1,3,5,4,1,2,1,0,4,1,4,1,3,3,1,3,0,1,1,5,5,4,0,5,5,5,5,3,3,3,4,5,3,4,3,5,4,4,5,5,3.7,0,26,495,554,Bachelor's,0,Mobile Developer,85061
3,4,1,3,3,1,0,5,4,4,4,4,1,1,5,1,2,4,0,0,4,1,3,0,3,2,3,1,2,0,1,1,5,5,3,3,1,1,4,1,4,5,5,4,2,3,0,0,5,5,4,3,5,3,5,5,5,4,5,3,4,4,5,4.1,3,28,585,302,High School,0,Data Scientist,134352
0,1,1,0,0,4,2,3,0,0,1,2,4,4,1,3,4,0,2,5,1,1,0,2,3,1,0,0,5,1,3,2,0,1,2,4,1,3,1,1,3,4,3,3,3,5,4,1,4,4,3,5,3,3,3,5,3,5,3,3,4,5,3,7.2,6,24,727,1011,Master's,0,Security Engineer,103805
4,3,0,2,1,4,4,5,1,2,1,3,0,1,4,2,4,2,1,1,2,0,2,3,4,1,3,2,0,4,1,2,0,4,1,3,4,2,2,2,3,5,4,0,4,4,4,2,4,5,4,5,4,4,3,3,3,4,3,4,5,3,5,4.7,5,25,599,1154,PhD,1,Data Scientist,119745
1,2,3,3,4,1,0,0,1,4,4,2,0,5,4,0,3,1,4,1,3,3,2,2,2,2,2,2,1,4,5,4,4,0,1,4,5,3,1,3,0,1,0,2,4,5,4,1,3,3,4,4,5,3,3,3,4,5,4,5,4,3,4,1.8,0,10,25,269,Master's,1,Backend Developer,71810
0,2,4,0,4,3,4,5,2,4,3,5,3,3,1,4,1,2,5,0,4,4,1,2,0,1,0,1,0,5,1,1,1,5,2,4,1,0,5,2,4,5,3,5,0,0,4,5,5,3,4,5,5,3,5,3,5,3,3,5,3,3,3,2.4,1,15,342,791,Master's,1,Security Engineer,82582
1,0,2,2,0,1,2,4,2,4,4,0,0,0,2,2,4,2,2,3,4,0,1,5,4,0,0,4,4,2,4,2,0,4,0,0,5,2,4,0,5,4,4,3,2,4,4,4,3,4,5,4,4,3,5,5,4,3,4,3,4,5,3,6.5,7,31,788,825,Associate's,0,Software Engineer,100893
0,5,4,4,3,2,4,1,2,1,2,0,1,1,4,5,0,4,1,0,0,2,0,3,3,0,1,3,2,3,0,1,2,0,3,0,0,0,2,0,1,3,1,4,3,2,0,0,3,3,4,3,3,4,3,5,3,3,3,5,4,3,5,6.9,5,33,546,1439,Associate's,0,DevOps Engineer,105975
0,1,5,5,4,0,1,2,2,2,5,2,0,1,5,0,5,3,0,4,2,2,1,0,0,5,0,3,2,4,1,3,3,1,1,3,2,5,3,1,4,5,4,4,5,2,1,2,3,4,3,5,4,5,3,5,3,4,3,5,4,3,5,0.5,0,17,399,368,Master's,0,Full-Stack Developer,68147
4,3,4,4,5,0,3,4,3,4,3,1,1,0,4,1,0,1,3,0,0,2,3,1,3,3,3,2,5,2,0,1,2,3,3,3,0,4,0,0,2,2,4,2,4,4,4,2,3,4,3,3,4,4,4,4,5,5,3,4,3,3,4,2.6,2,7,155,681,Master's,0,Machine Learning Engineer,101725
0,1,4,4,5,5,2,5,0,1,4,4,1,5,1,1,5,1,4,4,1,3,0,0,1,3,1,3,5,5,5,2,2,2,3,4,4,0,4,3,5,3,3,2,2,4,0,3,4,3,4,3,4,3,3,5,5,4,3,5,5,3,3,-1.4,0,11,99,754,Bachelor's,1,Security Engineer,50000
2,1,0,4,4,0,1,0,4,5,2,1,3,5,5,2,5,0,2,5,5,2,5,4,5,1,2,5,0,2,1,3,4,3,5,5,1,3,3,0,5,4,5,1,3,3,1,3,3,5,4,4,3,5,4,5,5,3,5,4,3,3,4,5.1,4,19,499,1391,PhD,1,Mobile Developer,90945
